language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
vene1258,-,-,-,-,-,-,s,-,t,-,-,-,-,a,r,b,u,-,t,-,-,-,-,-,a,-,d,-,-,-,-,-,-,-,o,-,-
vene1258,-,-,-,-,-,-,s,-,t,-,-,-,-,a,r,d,e,s,t,-,-,-,-,-,i,-,r,-,-,-,-,-,-,-,a,-,-
ital1282,-,E,-,-,-,-,s,-,-,-,-,-,-,e,r,-,e,z,d,r,a,-,-,y,a,-,t,-,-,-,-,-,-,-,o,-,-
ital1282,-,E,-,-,-,-,s,-,-,-,-,-,-,e,r,-,e,z,d,r,a,-,-,y,a,-,t,-,-,-,-,-,-,-,o,-,-
ligu1248,-,-,-,-,-,-,-,-,r,u,v,e,r,-,-,-,-,-,-,-,-,-,-,s,e,-,s,-,-,-,-,-,-,-,e,-,-
ligu1248,-,-,-,-,-,-,s,-,d,-,-,-,r,a,-,-,-,-,-,-,-,-,-,y,a,-,s,-,-,-,-,-,-,-,e,-,-
geno1240,-,e,-,-,-,-,s,-,e,-,-,-,-,a,-,-,-,-,k,-,-,-,-,w,e,-,g,-,-,-,-,-,-,-,o,w,-
sici1248,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,t,-,i,n,-,-,i,-,r,-,-,i,s,-,-,-,i,-,-
sici1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,u,r,-,k,a,-,r,-,-,i,s,-,-,-,i,-,-
sici1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,u,r,-,k,a,-,r,-,-,i,s,-,-,-,i,-,-
mess1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,u,-,-,k,a,-,r,-,-,3,s,-,-,-,3,-,-
neap1235,-,-,-,-,-,-,s,-,t,-,-,-,-,a,-,-,-,-,k,-,u,-,-,k,a,-,-,-,-,-,t,-,-,-,3,-,-
stan1289,-,e,-,-,-,-,s,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,r,t,S,i,t,-,-,-,a,t,-
stan1289,-,t,-,-,-,-,S,i,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,s,-,-,-,e,-,-
stan1289,-,e,-,-,-,-,s,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,t,o,m,b,a,t,-
stan1289,-,-,-,-,-,-,Z,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,w,-,r,-,-,-,-,-,-,-,3,-,-
stan1289,-,a,-,-,-,-,s,-,t,-,-,a,-,a,-,-,-,s,t,-,-,-,-,-,i,-,r,-,-,-,-,-,-,-,a,t,-
stan1289,-,3,-,-,-,-,s,-,t,-,-,-,-,a,-,-,-,s,t,-,-,-,-,-,i,-,r,-,-,-,-,-,-,-,a,t,-
cast1244,-,e,-,-,-,-,s,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,t,u,m,b,a,8,o
ruma1247,-,-,-,-,d,-,Z,-,-,-,-,-,-,3,Z,-,-,-,-,-,-,-,-,-,a,y,r,-,-,-,-,-,-,-,-,-,-
surs1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,e,-,r,-,-,-,-,-,-,-,-,-,-
lowe1386,-,-,-,-,d,-,Z,-,-,-,-,-,-,3,Z,-,-,-,-,-,-,-,-,-,a,y,r,-,-,-,-,-,-,-,-,-,-
surm1243,-,-,-,-,-,-,S,-,t,-,-,-,-,a,r,-,-,-,t,-,-,-,-,-,a,-,r,-,-,-,-,-,-,-,3,-,-
barb1262,-,e,-,-,-,-,s,-,-,-,-,-,-,e,r,-,e,-,k,-,o,l,-,k,a,-,d,-,-,-,-,-,-,-,u,-,-
camp1261,-,a,-,-,-,-,b,-,-,-,-,-,-,a,r,-,a,y,k,-,-,r,o,k,a,-,w,-,-,-,-,-,-,-,-,-,-
megl1237,-,-,-,-,-,-,z,-,-,-,-,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
arom1237,-,d,-,-,-,-,z,-,-,-,-,-,-,a,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
roma1327,-,a,-,-,-,-,s,-,t,-,-,-,-,a,-,-,-,-,k,-,-,-,-,-,u,-,l,-,-,-,k,-,-,-,a,t,-
istr1245,-,-,-,-,-,-,z,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,S,o,-,-,-,-,-,-,-,-,-,-,-,-
